ticker,type,ticker_api,name,id,sid
NV20IETF,etf,NV20IETF,ICICI Prudential Nifty50 Value 20 ETF,ICIN,ICIN
AXISVALUE,etf,AXISVALUE,Axis Nifty500 Value 50 ETF,AXISV,AXISV
NV20,etf,NV20,Kotak Nifty 50 Value 20 ETF,KONV,KONV
DIVOPPBEES,etf,DIVOPPBEES,Nippon India ETF Nifty Dividend Opportunities 50,NDIV,NDIV
MIDQ50ADD,etf,MIDQ50ADD,DSP Nifty Midcap 150 Quality 50 ETF,DSPQ,DSPQ
FLEXIADD,etf,FLEXIADD,DSP Nifty500 Flexicap Quality 30 ETF,FLEX,FLEX
QUAL30IETF,etf,QUAL30IETF,ICICI Prudential Nifty 200 Quality 30 ETF,ICICQ,ICICQ
NIFTYQLITY,etf,NIFTYQLITY,ADITYA BSL Nifty 200 Quality 30 ETF,NIF,NIF
HDFCQUAL,etf,HDFCQUAL,HDFC Nifty100 Quality 30 ETF,HDFCQ,HDFCQ
HDFCVALUE,etf,HDFCVALUE,HDFC Nifty50 Value 20 ETF,HDFCV,HDFCV
QUALITY30,etf,QUALITY30,Kotak Nifty200 Quality 30 ETF,QUAL,QUAL
SBIETFQLTY,etf,SBIETFQLTY,SBI Nifty 200 Quality 30 ETF,SIET,SIET
MOQUALITY,etf,MOQUALITY,Motilal Oswal BSE Quality ETF,MOQ,MOQ
DIVIDEND,etf,DIVIDEND,Mirae Asset BSE 500 Dividend Leaders 50 ETF,DIVID,DIVID
