ticker,type,ticker_api,name,id,sid
HDFCLIQUID,etf,HDFCLIQUID,HDFC Nifty 1D Rate Liquid ETF - Growth,HDFCU,HDFCU
LIQUIDSBI,etf,LIQUIDSBI,SBI Nifty 1D Rate Liquid ETF - IDCW,LIQU,LIQU
GROWWLIQID,etf,GROWWLIQID,Groww Nifty 1D Rate Liquid ETF,GROWW,GROWW
LIQUIDSHRI,etf,LIQUIDSHRI,Shriram Nifty 1D Rate Liquid ETF,LIQUS,LIQUS
AONELIQUID,etf,AONELIQUID,Angel One Nifty 1D Rate Liquid ETF - Growth,AONE,AONE
ELIQUID,etf,ELIQUID,Edelweiss Nifty 1D Rate Liquid ETF - Growth,ELIQ,ELIQ
ABSLLIQUID,etf,ABSLLIQUID,Aditya Birla Sun Life CRISIL Liquid Overnight ETF,ABSL,ABSL
SDL26BEES,etf,SDL26BEES,NipponINETFNifty SDL Apr 2026 Top 20 Equal Weight,NETF,NETF
AXISBPSETF,etf,AXISBPSETF,Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,AXISB,AXISB
EBBETF0430,etf,EBBETF0430,BHARAT Bond ETF-April 2030-Growth,BHAB,BHAB
EBBETF0433,etf,EBBETF0433,BHARAT Bond ETF - April 2033,EBB,EBB
EBBETF0431,etf,EBBETF0431,BHARAT Bond ETF-April 2031-Growth,BARE,BARE
BBETF0432,etf,BBETF0432,BHARAT Bond ETF-April 2032,BBE,BBE
MAFANG,etf,MAFANG,Mirae Asset NYSE FANG+ ETF,MAFAN,MAFAN
MAHKTECH,etf,MAHKTECH,Mirae Asset Hang Seng TECH ETF,MAHK,MAHK
HNGSNGBEES,etf,HNGSNGBEES,Nippon India ETF Hang Seng BeES,HNGS,HNGS
MON100,etf,MON100,Motilal Oswal NASDAQ 100 ETF,N100,N100
MONQ50,etf,MONQ50,Motilal Oswal Nasdaq Q50 ETF,MONQ,MONQ
MSCIINDIA,etf,MSCIINDIA,Kotak MSCI India ETF,MSCI,MSCI
ABSLMSCIN,etf,ABSLMSCIN,Aditya Birla Sun Life MSCI India ETF,ABSLM,ABSLM
MSCIADD,etf,MSCIADD,DSP MSCI India ETF,MSCIA,MSCIA
NIFTYBEES,etf,NIFTYBEES,Nippon India ETF Nifty 50 BeES,NBES,NBES
HDFCSENSEX,etf,HDFCSENSEX,HDFC BSE Sensex ETF,HDSE,HDSE
NIFTYBETA,etf,NIFTYBETA,UTI Nifty 50 ETF,UTIN,UTIN
JUNIORBEES,etf,JUNIORBEES,Nippon India ETF Nifty Next 50 Junior BeES,JBES,JBES
SETFNIF50,etf,SETFNIF50,SBI Nifty 50 ETF,SBFP,SBFP
NIFTYIETF,etf,NIFTYIETF,ICICI Prudential Nifty 50 ETF,ICNI,ICNI
NIFTY1,etf,NIFTY1,Kotak Nifty 50 ETF,KOTK,KOTK
NIFTYETF,etf,NIFTYETF,Mirae Asset Nifty 50 ETF,MIRA,MIRA
NEXT50IETF,etf,NEXT50IETF,ICICI Prudential Nifty Next 50 ETF,ICIT,ICIT
HDFCNIFTY,etf,HDFCNIFTY,HDFC Nifty 50 ETF,HDFN,HDFN
BSLNIFTY,etf,BSLNIFTY,Aditya Birla Sun Life Nifty 50 ETF,ADIY,ADIY
LOWVOLIETF,etf,LOWVOLIETF,ICICI Prudential Nifty 100 Low Vol 30 ETF,IICI,IICI
MOCAPITAL,etf,MOCAPITAL,Motilal Oswal Nifty Capital Market ETF,MOC,MOC
MULTICAP,etf,MULTICAP,Mirae Asset Nifty500 Multicap 50:25:25 ETF,MULTC,MULTC
MONIFTY500,etf,MONIFTY500,Motilal Oswal Nifty 500 ETF,MONIF,MONIF
SETFNN50,etf,SETFNN50,SBI Nifty Next 50 ETF,SBIN,SBIN
NIFTYCASE,etf,NIFTYCASE,Zerodha Nifty 50 ETF,NIFTC,NIFTC
SENSEXIETF,etf,SENSEXIETF,ICICI Prudential BSE Sensex ETF,ICII,ICII
TOP100CASE,etf,TOP100CASE,Zerodha Nifty 100 ETF,TOP,TOP
NEXT50,etf,NEXT50,Mirae Asset Nifty Next 50 ETF,MIRE,MIRE
MASPTOP50,etf,MASPTOP50,Mirae Asset S&P 500 Top 50 ETF,MASP,MASP
SENSEXETF,etf,SENSEXETF,Mirae Asset BSE Sensex ETF,SENS,SENS
AXISNIFTY,etf,AXISNIFTY,Axis Nifty 50 ETF,AISN,AISN
NIF100BEES,etf,NIF100BEES,Nippon India ETF Nifty 100,NIPO,NIPO
HDFCNEXT50,etf,HDFCNEXT50,HDFC Nifty NEXT 50 ETF,HDFCN,HDFCN
ECAPINSURE,etf,ECAPINSURE,Edelweiss BSE Capital Markets & Insurance ETF,ECA,ECA
GROWWCAPM,etf,GROWWCAPM,Groww Nifty Capital Markets ETF,GROWA,GROWA
SENSEXBETA,etf,SENSEXBETA,UTI BSE Sensex ETF,UTIS,UTIS
NEXT50BETA,etf,NEXT50BETA,UTI Nifty Next 50 Exchange Traded Fund,UTII,UTII
AONENIFTY,etf,AONENIFTY,Angel One Nifty 50 ETF,AONEN,AONEN
BSE500IETF,etf,BSE500IETF,ICICI Prudential BSE 500 ETF,ICSP,ICSP
NIFTYADD,etf,NIFTYADD,DSP Nifty 50 ETF,DSPN,DSPN
GROWWNET,etf,GROWWNET,Groww Nifty India Internet ETF,GROWE,GROWE
GROWWNIFTY,etf,GROWWNIFTY,Groww Nifty 50 ETF,GROWI,GROWI
AONETOTAL,etf,AONETOTAL,Angel One Nifty Total Market ETF,AON,AON
AXSENSEX,etf,AXSENSEX,Axis BSE Sensex ETF,AXS,AXS
QNIFTY,etf,QNIFTY,Quantum Nifty 50 ETF,QUAN,QUAN
LICNETFN50,etf,LICNETFN50,LIC MF Nifty 50 ETF,LICO,LICO
NIFTYBETF,etf,NIFTYBETF,Bajaj Finserv Nifty 50 ETF,NIFT,NIFT
NIF100IETF,etf,NIF100IETF,ICICI Prudential Nifty 100 ETF,ICIC,ICIC
MONIFTY100,etf,MONIFTY100,Motilal Oswal Nifty 100 ETF,MONIT,MONIT
GROWWNXT50,etf,GROWWNXT50,Groww Nifty Next 50 ETF,GROWX,GROWX
HDFCGROWTH,etf,HDFCGROWTH,HDFC Nifty Growth Sectors 15 ETF,HDFCG,HDFCG
NETF,etf,NETF,Tata Nifty 50 ETF,TATN,TATN
HDFCBSE500,etf,HDFCBSE500,HDFC BSE 500 ETF,HDFCB,HDFCB
LOWVOL1,etf,LOWVOL1,Kotak Nifty 100 Low Volatility 30 ETF,KOTAL,KOTAL
ABSLNN50ET,etf,ABSLNN50ET,Aditya Birla Sun Life Nifty Next 50 ETF,ADIB,ADIB
GROWWN200,etf,GROWWN200,Groww Nifty 200 ETF,GROWN,GROWN
HDFCNIF100,etf,HDFCNIF100,HDFC Nifty 100 ETF,HDF,HDF
HDFCLOWVOL,etf,HDFCLOWVOL,HDFC Nifty100 Low Volatility 30 ETF,HDFCL,HDFCL
IDFNIFTYET,etf,IDFNIFTYET,Bandhan Nifty 50 ETF,IFCN,IFCN
SNXT30BEES,etf,SNXT30BEES,Nippon India BSE Sensex Next 30 ETF,SNX,SNX
IVZINNIFTY,etf,IVZINNIFTY,Invesco India Nifty 50 ETF,INVO,INVO
BSLSENETFG,etf,BSLSENETFG,Aditya Birla Sun Life BSE Sensex ETF,BSL,BSL
NEXT50ETF,etf,NEXT50ETF,Kotak Nifty Next 50 ETF,NEXTE,NEXTE
